trust_code,trust_name,mrc_off_201718,mrc_off_201819,mrc_off_201920,mrc_off_202021,mrc_off_202122,mrc_off_202223,mrc_off_202324,mrc_on_201718,mrc_on_201819,mrc_on_201920,mrc_on_202021,mrc_on_202122,mrc_on_202223,mrc_on_202324,mrc_service_provision_201718,mrc_service_provision_201819,mrc_service_provision_201920,mrc_service_provision_202021,mrc_service_provision_202122,mrc_service_provision_202223,mrc_service_provision_202324,mrc_type_201718,mrc_type_201819,mrc_type_201920,mrc_type_202021,mrc_type_202122,mrc_type_202223,mrc_type_202324,mrc_total_201718,mrc_total_201819,mrc_total_201920,mrc_total_202021,mrc_total_202122,mrc_total_202223,mrc_total_202324,current_name_in_foi,trust_type_from_foi,trust_epr,in_foi_data,all_admissions_22,emergency_admissions_22,mrc_total_202324_perpatient
RTQ,"2GETHER NHS FOUNDATION TRUST, GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST",34648.0,39826.0,39031.0,111500.0,111500.0,42500.0,64799.0,0.0,0.0,691640.0,115638.0,520733.0,545988.0,547365.0,Internal,Internal,Hybrid,Internal,Internal,Hybrid,Hybrid,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,34648.0,39826.0,730671.0,227138.0,632233.0,588488.0,612164.0,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,Mental Health and Community (Combined),TPP,True,,,
REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST, LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",65590.0,56657.0,58981.0,101922.0,1646581.0,1534829.0,1120134.0,69250.0,75888.0,78165.0,1435012.0,1646581.0,144750.0,0.0,Other,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,134840.0,132545.0,137146.0,1536934.0,3293162.0,1679579.0,1120134.0,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Acute,Dedalus Healthcare Ltd,True,705871.0,700130.0,1.59
RCF,AIREDALE NHS FOUNDATION TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498051.0,509991.0,553537.0,559974.0,554805.0,577884.0,715884.0,Internal,Internal,Internal,Internal,Internal,Internal,Internal,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,498051.0,509991.0,553537.0,559974.0,554805.0,577884.0,715884.0,AIREDALE NHS FOUNDATION TRUST,Acute,TPP,True,188607.0,195373.0,3.8
RBS,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,0.0,70.0,70.0,70.0,187744.0,548176.0,95580.0,71500.0,908371.0,908371.0,908371.0,405918.0,428883.0,438695.0,Internal,Internal,Hybrid,Hybrid,Hybrid,Hybrid,Internal,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,71500.0,908441.0,908441.0,908441.0,593662.0,977059.0,534275.0,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,Acute,Meditech Group Limited,True,,,
RTK,ASHFORD AND ST. PETER'S HOSPITALS NHS FOUNDATION TRUST,53010.0,53010.0,78692.0,92854.0,77554.0,172013.0,74413.0,1001766.0,1001766.0,1076422.0,732069.0,822627.0,804967.0,690551.0,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,1054776.0,1054776.0,1155114.0,824923.0,900181.0,976980.0,764964.0,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,Acute,Oracle Cerner Corporation,True,351397.0,351397.0,2.18
RVN,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160455.0,177070.0,175827.0,173573.0,175498.0,198135.0,229350.0,Internal,Internal,Internal,Internal,Internal,Internal,Internal,Paper,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,160455.0,177070.0,175827.0,173573.0,175498.0,198135.0,229350.0,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,Mental Health and Community (Combined),The Access Group,True,,,
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",250000.0,194583.0,199237.0,260574.0,394675.0,226800.0,226800.0,1331000.0,1536052.0,1587685.0,1582605.0,1566091.0,1744946.0,1744946.0,Internal,Internal,Internal,Internal,Internal,Internal,Internal,Mixed,1. Paper,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,1581000.0,1730635.0,1786922.0,1843179.0,1960766.0,1971746.0,1971746.0,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",Acute,System C Healthcare Ltd,True,632011.0,702767.0,3.12
RRP,"BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST",80469.0,135000.0,141075.0,146789.0,178606.0,182178.0,185912.0,40000.0,43000.0,44398.0,44891.0,216736.0,221070.0,225601.0,Internal,Internal,Internal,Internal,Internal,Internal,Internal,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,120469.0,178000.0,185473.0,191680.0,395342.0,403248.0,411513.0,"BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST",Mental Health and Community (Combined),Advanced Health and Care Limited,True,,,
RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,39423.0,20173.0,66346.0,58771.0,66997.0,85192.0,65447.0,843910.0,834917.0,1068740.0,1240407.0,1148824.0,1131448.0,991526.0,Internal,Internal,Internal,Internal,Internal,Internal,Internal,Paper,1. Paper,1. Paper,1. Paper,1. Paper,1. Paper,3. Mixed,883333.0,855090.0,1135086.0,1299178.0,1215821.0,1216640.0,1056973.0,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,Acute,System C Healthcare Ltd,True,258080.0,258080.0,4.1
R1H,BARTS HEALTH NHS TRUST,1783700.0,2380986.0,2404796.0,2501744.0,2501744.0,2801755.0,3011887.0,247500.0,5620388.0,5817102.0,5486225.0,5486225.0,5384220.0,5653431.0,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,2031200.0,8001374.0,8221898.0,7987969.0,7987969.0,8185975.0,8665318.0,BARTS HEALTH NHS TRUST,Acute,Oracle Cerner Corporation,True,1173479.0,1156438.0,7.38
